"symbol","logFC","P.Value","chr","description"
"2410004P03Rik",0.387829813851504,0.228,"12","RIKEN cDNA 2410004P03 gene"
"Vat1l",-0.387680568565178,0.5468,"8","vesicle amine transport protein 1 like"
"Tmem134",0.387050208859485,0.2848,"19","transmembrane protein 134"
"Tob1",-0.386954930991622,0.214,"11","transducer of ErbB-2.1"
"Bloc1s1",0.38641325612604,0.3004,"10","biogenesis of lysosomal organelles complex-1, subunit 1"
"Cenpb",0.386371675298147,0.3752,"2","centromere protein B"
"Uqcr10",0.386155165002238,0.3848,"11","ubiquinol-cytochrome c reductase, complex III subunit X"
"Kitl",-0.385860695921009,0.3932,"10","kit ligand"
"Zfhx3",-0.385337908034991,0.2988,"8","zinc finger homeobox 3"
"Tjp1",-0.385310233014095,0.2912,"7","tight junction protein 1"
"Fgf10",-0.385256038678345,0.1204,"13","fibroblast growth factor 10"
"Dmd",-0.385156434423392,0.3416,"X","dystrophin, muscular dystrophy"
"Ftl1",0.385116197243691,0.4556,"7","ferritin light polypeptide 1"
"Pdia4",-0.384851711646163,0.0388,"6","protein disulfide isomerase associated 4"
"Elavl4",-0.384838880217195,0.0832,"4","ELAV like RNA binding protein 4"
"Lrrn1",-0.384645635477286,0.4244,"6","leucine rich repeat protein 1, neuronal"
"Dock10",-0.384406432962018,0.3244,"1","dedicator of cytokinesis 10"
"Hs3st4",0.384177668631313,0.0084,"7","heparan sulfate (glucosamine) 3-O-sulfotransferase 4"
"Prkcd",0.384048223854938,0.3212,"14","protein kinase C, delta"
"Psmb4",0.383823747404048,0.1384,"3","proteasome (prosome, macropain) subunit, beta type 4"
"Jmjd1c",-0.383313592991529,0.508,"10","jumonji domain containing 1C"
"Kmt2c",-0.38322926566924,0.4068,"5","lysine (K)-specific methyltransferase 2C"
"Mpnd",0.3831832355409,0.2712,"17","MPN domain containing"
"Gm15446",-0.383051747768201,0.292,"5","predicted gene 15446"
"Pnpla2",0.382833216557179,0.1156,"7","patatin-like phospholipase domain containing 2"
"2010001A14Rik",0.382715550464864,0.234,"11","RIKEN cDNA 2010001A14 gene"
"Micos13",0.382651926895496,0.2488,"17","mitochondrial contact site and cristae organizing system subunit 13"
"Trpv4",-0.382415349383101,0.5552,"5","transient receptor potential cation channel, subfamily V, member 4"
"Itga4",-0.381714168077878,0.088,"2","integrin alpha 4"
"Tnnt2",0.381598182316583,0.394,"1","troponin T2, cardiac"
"Dcxr",0.381564225215726,0.1328,"11","dicarbonyl L-xylulose reductase"
"Hspg2",-0.381396755279324,0.2384,"4","perlecan (heparan sulfate proteoglycan 2)"
"Tmem255a",-0.381362038714499,0.258,"X","transmembrane protein 255A"
"Inpp5d",-0.381334964252978,0.5788,"1","inositol polyphosphate-5-phosphatase D"
