"symbol","logFC","P.Value","chr","description"
"Rplp1",-0.395693755146915,0.3084,"9","ribosomal protein, large, P1"
"Bloc1s1",-0.395548733971265,0.2268,"10","biogenesis of lysosomal organelles complex-1, subunit 1"
"Sdhaf4",-0.394942862804229,0.2916,"1","succinate dehydrogenase complex assembly factor 4"
"Krt77",-0.394914643923705,0.1152,"15","keratin 77"
"Syndig1l",0.394766166698809,0.2076,"12","synapse differentiation inducing 1 like"
"Dyrk2",0.394556331284534,0.3808,"10","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"
"Lmbrd2",0.394547642126845,0.6048,"15","LMBR1 domain containing 2"
"Rpl39",-0.394072049101791,0.2356,"X","ribosomal protein L39"
"Pde3b",0.392948080998349,0.1928,"7","phosphodiesterase 3B, cGMP-inhibited"
"Zhx3",0.392350559587794,0.2268,"2","zinc fingers and homeoboxes 3"
"Dock6",-0.392095839297808,0.188,"9","dedicator of cytokinesis 6"
"Slc16a4",-0.391736822281755,0.1456,"3","solute carrier family 16 (monocarboxylic acid transporters), member 4"
"A230001M10Rik",-0.391457057178277,0.1556,"3","RIKEN cDNA A230001M10 gene"
"Zswim7",-0.391256989405928,0.0236,"11","zinc finger SWIM-type containing 7"
"S100a13",-0.39104884539868,0.3524,"3","S100 calcium binding protein A13"
"Wnk3",0.390855361010657,0.124,"X","WNK lysine deficient protein kinase 3"
"Spag5",-0.390409691746817,0.0836,"11","sperm associated antigen 5"
"Rpl36a",-0.390283865508403,0.266,"X","ribosomal protein L36A"
"Acy1",-0.39016635368365,0.148,"9","aminoacylase 1"
"Rtl3",0.390132756926384,0.3044,"X","retrotransposon Gag like 3"
"Fip1l1",0.389636314073273,0.102,"5","FIP1 like 1 (S. cerevisiae)"
"Cbl",0.388567687078782,0.4804,"9","Casitas B-lineage lymphoma"
"Clk2",-0.388057065288732,0.1396,"3","CDC-like kinase 2"
"Atp8a2",0.38738785531953,0.4852,"14","ATPase, aminophospholipid transporter-like, class I, type 8A, member 2"
"Tekt1",-0.387267292439759,0.3692,"11","tektin 1"
"Mylk3",0.38686235992083,0.3292,"8","myosin light chain kinase 3"
"Myoc",0.386516751236268,0.4724,"1","myocilin"
"Ppp1ccb",0.386249405003245,0.1832,"7","protein phosphatase 1 catalytic subunit gamma B"
